line,part,cost,coreprice,qtyonhand,packs,sku
,X22TE1925,7.15,,17,,HDHN_X22TE1925
,X22TE7095,11.77,,15,,HDHN_X22TE7095
,X18CJ1879,76.41,,5,,HDHN_X18CJ1879
,X22TR7180,12.58,,26,,HDHN_X22TR7180
,X22TE1936,11.13,,13,,HDHN_X22TE1936
,X88BU5443,17.36,,23,,HDHN_X88BU5443
,X88BU5561,14.86,,27,,HDHN_X88BU5561
,X88BU6370,9.95,,24,,HDHN_X88BU6370
,X88BU5530,15.61,,18,,HDHN_X88BU5530
,X88BU6694,40.17,,3,,HDHN_X88BU6694
,X88BU6365,8.83,,6,,HDHN_X88BU6365
,X23CJ2047,45.12,,9,,HDHN_X23CJ2047
,X17LA6956,29.62,,23,,HDHN_X17LA6956
,X88BU7390,6.43,,27,,HDHN_X88BU7390
,X88BU5170,6.66,,26,,HDHN_X88BU5170
,X88BU5484,46.63,,31,,HDHN_X88BU5484
,X17SL0601,8.29,,5,,HDHN_X17SL0601
,X56TR6473,9.23,,4,,HDHN_X56TR6473
,X85BU6671,24.42,,14,,HDHN_X85BU6671
,X88BU4628,6.57,,26,,HDHN_X88BU4628
,X88BU4623,7.62,,22,,HDHN_X88BU4623
,X53TE4572,10.89,,13,,HDHN_X53TE4572
,X58TE0075,9.98,,10,,HDHN_X58TE0075
,X42TR3720,5.44,,5,,HDHN_X42TR3720
,X37TE6817,11.78,,2,,HDHN_X37TE6817
,X53TR6946,11.76,,25,,HDHN_X53TR6946
,X58TR0017,11.61,,26,,HDHN_X58TR0017
,X53TR4562,6.21,,28,,HDHN_X53TR4562
,X53CJ7120,130.66,,16,,HDHN_X53CJ7120
,X53SL0018,11.26,,15,,HDHN_X53SL0018
,X53TE4560,10.45,,15,,HDHN_X53TE4560
,X41TE3535,8.92,,7,,HDHN_X41TE3535
,X43BJ3776,11.61,,5,,HDHN_X43BJ3776
,X53CJ4543,59.5,,17,,HDHN_X53CJ4543
,X53CA9999,76.55,,11,,HDHN_X53CA9999
,X43CA3778,91.96,,4,,HDHN_X43CA3778
,X53CA4575,98.77,,20,,HDHN_X53CA4575
,X88BU5037,4.77,,24,,HDHN_X88BU5037
,X88BU5125,3.47,,5,,HDHN_X88BU5125
,X50CJ4148,55.65,,7,,HDHN_X50CJ4148
,X50CA4129,67.18,,11,,HDHN_X50CA4129
,X50CA4028,60.21,,8,,HDHN_X50CA4028
,X52TE4261,8.66,,14,,HDHN_X52TE4261
,X52CJ4408,49.53,,15,,HDHN_X52CJ4408
,X52TE4369,6.88,,21,,HDHN_X52TE4369
,X52CJ4276,73.86,,8,,HDHN_X52CJ4276
,X52SL4266,17.06,,26,,HDHN_X52SL4266
,X50CA4248,60.21,,13,,HDHN_X50CA4248
,X50TR4207,15.76,,21,,HDHN_X50TR4207
,X50CJ7235,74.68,,13,,HDHN_X50CJ7235
,X50TR7204,9.79,,19,,HDHN_X50TR7204
,X50CA7688,63.74,,8,,HDHN_X50CA7688
,X50CA7294,56.63,,10,,HDHN_X50CA7294
,X52LA4393,26.97,,39,,HDHN_X52LA4393
,X52CA4419,53.4,,130,,HDHN_X52CA4419
,X50TR4078,8.43,,5,,HDHN_X50TR4078
,X50CJ4176,53.36,,3,,HDHN_X50CJ4176
,X50CA4159,64.82,,14,,HDHN_X50CA4159
,X50TR7727,10.62,,24,,HDHN_X50TR7727
,X50CJ7118,66,,18,,HDHN_X50CJ7118
,X53BU7511,40.14,,24,,HDHN_X53BU7511
,X37SL3257,8.79,,12,,HDHN_X37SL3257
,X37SL0008,13.76,,2,,HDHN_X37SL0008
,X49TR3918,11.13,,18,,HDHN_X49TR3918
,X50BJ4014,13.3,,9,,HDHN_X50BJ4014
,X50BJ4053,17.53,,11,,HDHN_X50BJ4053
,X47SL6203,13.61,,7,,HDHN_X47SL6203
,X37SL3198,9.63,,2,,HDHN_X37SL3198
,X45LA3830,19.24,,28,,HDHN_X45LA3830
,X50BJ3986,21.41,,19,,HDHN_X50BJ3986
,X36TE2987,9.99,,12,,HDHN_X36TE2987
,X37CJ3245,67.98,,2,,HDHN_X37CJ3245
,X49SL3916,8.69,,4,,HDHN_X49SL3916
,X49CJ3958,54.15,,9,,HDHN_X49CJ3958
,X37CJ3165,57.12,,1,,HDHN_X37CJ3165
,X37SL3220,14.91,,3,,HDHN_X37SL3220
,X43CJ3777,95.88,,1,,HDHN_X43CJ3777
,X36TR3034,7.52,,2,,HDHN_X36TR3034
,X50BJ4171,13.25,,10,,HDHN_X50BJ4171
,X47SL3865,12.15,,9,,HDHN_X47SL3865
,X44LA3782,20.18,,24,,HDHN_X44LA3782
,X49TE3897,6.77,,7,,HDHN_X49TE3897
,X36BJ2996,12.04,,32,,HDHN_X36BJ2996
,X31SL2433,13.55,,14,,HDHN_X31SL2433
,X31CJ6725,83.65,,14,,HDHN_X31CJ6725
,X34BJ2800,16.14,,16,,HDHN_X34BJ2800
,X36CJ7232,121.04,,6,,HDHN_X36CJ7232
,X36TR2855,9.94,,18,,HDHN_X36TR2855
,X37SL3233,9.18,,3,,HDHN_X37SL3233
,X36CJ3055,32.04,,3,,HDHN_X36CJ3055
,X36TE3047,8.51,,11,,HDHN_X36TE3047
,X36TE2965,8.79,,2,,HDHN_X36TE2965
,X36TE2878,8.66,,10,,HDHN_X36TE2878
,X31SL2475,15.25,,21,,HDHN_X31SL2475
,X31SL2243,9.92,,22,,HDHN_X31SL2243
,X36CJ0051,57.89,,1,,HDHN_X36CJ0051
,X36TR2930,8.13,,29,,HDHN_X36TR2930
,X31SL2400,13.76,,154,,HDHN_X31SL2400
,X36TE2937,9.9,,10,,HDHN_X36TE2937
,X37TR3199,10.53,,4,,HDHN_X37TR3199
,X31SL2461,17.58,,18,,HDHN_X31SL2461
,X36SL3029,15.68,,11,,HDHN_X36SL3029
,X36TE3027,15.67,,14,,HDHN_X36TE3027
,X36SL2940,13.87,,12,,HDHN_X36SL2940
,X36CJ3073,43.84,,1,,HDHN_X36CJ3073
,X36TR3067,7.75,,17,,HDHN_X36TR3067
,X31SL2425,32.9,,16,,HDHN_X31SL2425
,X36SL2916,13.65,,22,,HDHN_X36SL2916
,X31SL2506,16.12,,9,,HDHN_X31SL2506
,X31BJ2220,14.53,,37,,HDHN_X31BJ2220
,X31CA2203,30.71,,13,,HDHN_X31CA2203
,X31CJ0641,82.78,,2,,HDHN_X31CJ0641
,X31BJ2451,18.34,,20,,HDHN_X31BJ2451
,X31CA2186,107.74,,12,,HDHN_X31CA2186
,X30TE7574,10.93,,3,,HDHN_X30TE7574
,X30TR6717,10.45,,16,,HDHN_X30TR6717
,X31BJ2342,21.09,,22,,HDHN_X31BJ2342
,X31CJ0711,89.89,,5,,HDHN_X31CJ0711
,X31CJ2222,64.08,,15,,HDHN_X31CJ2222
,X33CA7329,94.4,,13,,HDHN_X33CA7329
,X53TE4546,6.24,,14,,HDHN_X53TE4546
,X53CJ4542,59.27,,14,,HDHN_X53CJ4542
,X47SL3864,9.73,,20,,HDHN_X47SL3864
,X57TR7710,10.57,,27,,HDHN_X57TR7710
,X50BJ4048,17.19,,11,,HDHN_X50BJ4048
,X53CJ4584,88.81,,12,,HDHN_X53CJ4584
,X53SL4596,9.37,,19,,HDHN_X53SL4596
,X39SL6686,15.23,,32,,HDHN_X39SL6686
,X53TE4593,7.65,,13,,HDHN_X53TE4593
,X53BJ4579,12.72,,16,,HDHN_X53BJ4579
,X53SL4549,22.68,,14,,HDHN_X53SL4549
,X57SL0023,14.07,,18,,HDHN_X57SL0023
,X50BJ4104,13.38,,2,,HDHN_X50BJ4104
,X53TE4571,10.89,,14,,HDHN_X53TE4571
,X85BU6578,47.77,,24,,HDHN_X85BU6578
,X60TE0316,12.14,,10,,HDHN_X60TE0316
,X60CJ0658,51.46,,3,,HDHN_X60CJ0658
,X50CJ4249,67.56,,13,,HDHN_X50CJ4249
,X47CJ7139,82.83,,4,,HDHN_X47CJ7139
,X58SL7649,23.43,,3,,HDHN_X58SL7649
,X42TE3727,7.39,,3,,HDHN_X42TE3727
,X31SL2349,23.15,,14,,HDHN_X31SL2349
,X31SL2197,7.6,,20,,HDHN_X31SL2197
,X30TE0006,11.42,,18,,HDHN_X30TE0006
,X30TE7384,9.7,,5,,HDHN_X30TE7384
,X30TR7634,9.09,,15,,HDHN_X30TR7634
,X17BJ0641,16.7,,7,,HDHN_X17BJ0641
,X15CJ0281,96.24,,11,,HDHN_X15CJ0281
,X31BJ2199,8.57,,27,,HDHN_X31BJ2199
,X13SL0050,14.49,,5,,HDHN_X13SL0050
,X31CJ2488,57.12,,8,,HDHN_X31CJ2488
,X31BJ2493,7.5,,31,,HDHN_X31BJ2493
,X15BJ7164,16.78,,26,,HDHN_X15BJ7164
,X31CJ2407,36.74,,7,,HDHN_X31CJ2407
,X31BJ2438,16.14,,23,,HDHN_X31BJ2438
,X31CJ2202,39.13,,11,,HDHN_X31CJ2202
,X31CJ2542,63.1,,16,,HDHN_X31CJ2542
,X31CJ2496,76.82,,19,,HDHN_X31CJ2496
,X15BJ6881,9.6,,14,,HDHN_X15BJ6881
,X31CJ2518,61.56,,15,,HDHN_X31CJ2518
,X31CJ2481,60.33,,10,,HDHN_X31CJ2481
,X31CJ2527,66.18,,11,,HDHN_X31CJ2527
,X31CJ2412,44.47,,20,,HDHN_X31CJ2412
,X31CJ2547,78.64,,11,,HDHN_X31CJ2547
,X13SL1448,13.25,,22,,HDHN_X13SL1448
,X31CJ6866,56.29,,14,,HDHN_X31CJ6866
,X13SL6559,18.39,,14,,HDHN_X13SL6559
,X31CJ7675,185.84,,27,,HDHN_X31CJ7675
,X31CJ7194,117.47,,12,,HDHN_X31CJ7194
,X25CJ2149,136.28,,11,,HDHN_X25CJ2149
,X25CJ2136,76.95,,7,,HDHN_X25CJ2136
,X25CJ2111,154.4,,6,,HDHN_X25CJ2111
,X23TR7184,9.47,,22,,HDHN_X23TR7184
,X23TE1959,8.38,,9,,HDHN_X23TE1959
,X23TR2006,8.11,,12,,HDHN_X23TR2006
,X22DL0006,53.52,,2,,HDHN_X22DL0006
,X22TE1932,9.93,,13,,HDHN_X22TE1932
,X22TE1941,13,,19,,HDHN_X22TE1941
,X22CJ6886,47.77,,12,,HDHN_X22CJ6886
,X50CJ3990,161.34,,16,,HDHN_X50CJ3990
,X37SL3213,15.37,,4,,HDHN_X37SL3213
,X37SL3222,12.31,,4,,HDHN_X37SL3222
,X36SL3078,12.59,,9,,HDHN_X36SL3078
,X39TE7337,12.46,,30,,HDHN_X39TE7337
,X36SL6893,19.43,,13,,HDHN_X36SL6893
,X39TR6766,9.74,,26,,HDHN_X39TR6766
,X36SL7708,11.06,,7,,HDHN_X36SL7708
,X43CA7783,66.42,,13,,HDHN_X43CA7783
,X46SL3851,8.94,,4,,HDHN_X46SL3851
,X44BU0041,3.42,,31,,HDHN_X44BU0041
,X37SL0239,9.21,,7,,HDHN_X37SL0239
,X36TE4615,9.99,,28,,HDHN_X36TE4615
,X36SL6839,13.35,,13,,HDHN_X36SL6839
,X37TE3218,10.75,,6,,HDHN_X37TE3218
,X50TE4068,9.08,,12,,HDHN_X50TE4068
,X50SL4063,5.85,,19,,HDHN_X50SL4063
,X50TE4046,10.88,,18,,HDHN_X50TE4046
,X50TE4214,10.11,,8,,HDHN_X50TE4214
,X50TE6843,12.55,,13,,HDHN_X50TE6843
,X53CA4565,93.38,,18,,HDHN_X53CA4565
,X53BJ4563,13.38,,40,,HDHN_X53BJ4563
,X15BJ0085,11.61,,1,,HDHN_X15BJ0085
,X15BJ6860,14.54,,15,,HDHN_X15BJ6860
,X15BJ6969,13.93,,9,,HDHN_X15BJ6969
,X13SL6641,21.3,,15,,HDHN_X13SL6641
,X13SL6553,16.41,,14,,HDHN_X13SL6553
,X31TA2381,22.66,,17,,HDHN_X31TA2381
,X31TE7576,10.62,,6,,HDHN_X31TE7576
,X31LA2415,33.83,,41,,HDHN_X31LA2415
,X31SL2507,15.35,,12,,HDHN_X31SL2507
,X31SL2476,15.25,,22,,HDHN_X31SL2476
,X31LA2420,11.06,,62,,HDHN_X31LA2420
,X31CJ2463,69.27,,9,,HDHN_X31CJ2463
,X31CJ2410,51.82,,8,,HDHN_X31CJ2410
,X31LA2322,26.88,,24,,HDHN_X31LA2322
,X31CJ2525,78.47,,9,,HDHN_X31CJ2525
,X31CJ7678,70.8,,13,,HDHN_X31CJ7678
,X31CJ2398,118.51,,9,,HDHN_X31CJ2398
,X31CJ2530,66.35,,17,,HDHN_X31CJ2530
,X31CJ7105,78.38,,22,,HDHN_X31CJ7105
,X31CJ2494,84.4,,11,,HDHN_X31CJ2494
,X31CJ2545,88.81,,22,,HDHN_X31CJ2545
,X31CJ2550,95.94,,13,,HDHN_X31CJ2550
,X31CJ7616,50.53,,13,,HDHN_X31CJ7616
,X31CJ2514,70.82,,16,,HDHN_X31CJ2514
,X31CJ2484,66.54,,11,,HDHN_X31CJ2484
,X33SL2762,11.53,,10,,HDHN_X33SL2762
,X22TR7557,25.95,,4,,HDHN_X22TR7557
,X22BJ1938,13.06,,10,,HDHN_X22BJ1938
,X30BJ0147,27.44,,1,,HDHN_X30BJ0147
,X25TE2091,6.93,,12,,HDHN_X25TE2091
,X23BJ2031,11.14,,24,,HDHN_X23BJ2031
,X22CA7713,48.29,,22,,HDHN_X22CA7713
,X22BJ6936,15.22,,4,,HDHN_X22BJ6936
,X25TE2144,11.13,,17,,HDHN_X25TE2144
,X25TR2146,12.66,,19,,HDHN_X25TR2146
,X23CJ7098,70.39,,12,,HDHN_X23CJ7098
,X25SL2135,18.8,,13,,HDHN_X25SL2135
,X23SL2001,9.51,,11,,HDHN_X23SL2001
,X23TE2005,8.7,,9,,HDHN_X23TE2005
,X25TR2097,9.82,,14,,HDHN_X25TR2097
,X23CJ7188,98.87,,6,,HDHN_X23CJ7188
,X25SL2105,14.13,,7,,HDHN_X25SL2105
,X25LA2132,23.15,,14,,HDHN_X25LA2132
,X25SL2084,12.99,,24,,HDHN_X25SL2084
,X23SL2015,13.63,,15,,HDHN_X23SL2015
,X23TR1996,9.64,,13,,HDHN_X23TR1996
,X25BJ2108,14.43,,18,,HDHN_X25BJ2108
,X25SL2121,10.85,,23,,HDHN_X25SL2121
,X18TE1780,9.05,,2,,HDHN_X18TE1780
,X18TE1761,7.35,,13,,HDHN_X18TE1761
,X18TR1774,8.06,,11,,HDHN_X18TR1774
,X05TA6464,30.77,,16,,HDHN_X05TA6464
,X05TA6285,28.93,,15,,HDHN_X05TA6285
,X05TE0874,11.48,,19,,HDHN_X05TE0874
,X05TE0916,12.23,,17,,HDHN_X05TE0916
,X05TA1041,24.64,,29,,HDHN_X05TA1041
,X05TE0953,9.56,,11,,HDHN_X05TE0953
,X05TE1038,9.06,,27,,HDHN_X05TE1038
,X05TA0875,31.28,,22,,HDHN_X05TA0875
,X05TE1104,11.46,,15,,HDHN_X05TE1104
,X05SL6237,13.86,,15,,HDHN_X05SL6237
,X05TA0903,20.34,,1,,HDHN_X05TA0903
,X05SL1126,13.2,,19,,HDHN_X05SL1126
,X15CJ0582,85.47,,12,,HDHN_X15CJ0582
,X15BJ0298,7.89,,1,,HDHN_X15BJ0298
,X50CA4007,48.6,,9,,HDHN_X50CA4007
,X50BJ7752,18.65,,25,,HDHN_X50BJ7752
,X39SL6347,10.75,,15,,HDHN_X39SL6347
,X39SL0012,10.95,,2,,HDHN_X39SL0012
,X39SL3425,13.09,,17,,HDHN_X39SL3425
,X37CJ3202,99.13,,2,,HDHN_X37CJ3202
,X44BU0042,6.3,,6,,HDHN_X44BU0042
,X52TR4275,9.57,,16,,HDHN_X52TR4275
,X36BJ2924,8.8,,20,,HDHN_X36BJ2924
,X36BJ2966,16.25,,28,,HDHN_X36BJ2966
,X89KT1106,175.1,,4,,HDHN_X89KT1106
,X33SL2730,6.95,,24,,HDHN_X33SL2730
,X43CA7784,66.42,,18,,HDHN_X43CA7784
,X36CA2959,54.94,,27,,HDHN_X36CA2959
,X07SL6980,10.95,,7,,HDHN_X07SL6980
,X07SL6818,14.56,,12,,HDHN_X07SL6818
,X17BU0066,4.03,,7,,HDHN_X17BU0066
,X07PA7474,20.05,,2,,HDHN_X07PA7474
,X17SL6609,11.28,,18,,HDHN_X17SL6609
,X18CJ1844,32.86,,1,,HDHN_X18CJ1844
,X14SL1541,15.09,,14,,HDHN_X14SL1541
,X13TE1468,11.76,,6,,HDHN_X13TE1468
,X18CA1769,45.18,,10,,HDHN_X18CA1769
,X07LA1252,31.15,,21,,HDHN_X07LA1252
,X18TR1758,10.06,,18,,HDHN_X18TR1758
,X18TR1699,9.09,,19,,HDHN_X18TR1699
,X07SL6492,16.19,,1,,HDHN_X07SL6492
,X15TR6897,8.12,,3,,HDHN_X15TR6897
,X15TE0409,7.01,,15,,HDHN_X15TE0409
,X07TR1236,9.23,,1,,HDHN_X07TR1236
,X09CA6919,81.53,,13,,HDHN_X09CA6919
,X07TR9999,9.38,,4,,HDHN_X07TR9999
,X09CJ1369,90.89,,11,,HDHN_X09CJ1369
,X13BJ6552,12.62,,49,,HDHN_X13BJ6552
,X09CJ1350,70.2,,7,,HDHN_X09CJ1350
,X07TR6496,9.69,,24,,HDHN_X07TR6496
,X09CJ6870,66.42,,7,,HDHN_X09CJ6870
,X13BJ7601,13.93,,21,,HDHN_X13BJ7601
,X23CA9997,82.15,,16,,HDHN_X23CA9997
,X23CJ2033,70.1,,9,,HDHN_X23CJ2033
,X23CJ1977,73.75,,15,,HDHN_X23CJ1977
,X22TE7558,28.17,,2,,HDHN_X22TE7558
,X23TE1989,6.33,,2,,HDHN_X23TE1989
,X23CA7457,56.63,,13,,HDHN_X23CA7457
,X23BJ2032,16.07,,19,,HDHN_X23BJ2032
,X25BJ2086,14.49,,20,,HDHN_X25BJ2086
,X23BJ1962,20.45,,21,,HDHN_X23BJ1962
,X22TE7757,11.27,,13,,HDHN_X22TE7757
,X01CJ0727,57,,22,,HDHN_X01CJ0727
,BM00002C,45.62,,14,,CNTM_BM00002C
,HA112789C,17.35,,1,,CNTM_HA112789C
,16186,3.74,,4,,BBVZ_16186
,12573,8.62,,2,,BBVZ_12573
,RA13106C,84.2,,2,,CNTM_RA13106C
,RD10898KTC,2.93,,186,,CNTM_RD10898KTC
,EV939769PFC,53,,6,,CNTM_EV939769PFC
,PA4446,15.78,,181,,BFDG_PA4446
,14660039,18.1,,1,,BKNJ_14660039
,LFW388,65.79,,10,,BBZH_LFW388
,17448,13.12,,7,,BBVZ_17448
,13465Q,9.4,,92,,BBVZ_13465Q
,14233,4.8,,3,,BBVZ_14233
,16153,3.68,,71,,BBVZ_16153
,15122,3.23,,6,,BBVZ_15122
,X50BJ0064,14.73,,7,,HDHN_X50BJ0064
,X50BJ7725,20.76,,13,,HDHN_X50BJ7725
,X02SL0780,10.17,,11,,HDHN_X02SL0780
,X88BU6693,7.97,,27,,HDHN_X88BU6693
,X50CA7426,37.72,,6,,HDHN_X50CA7426
,X50CA4157,64.82,,13,,HDHN_X50CA4157
,X50CJ0006,92.21,,2,,HDHN_X50CJ0006
,X88BU5581,23.58,,28,,HDHN_X88BU5581
,X50CA7687,63.74,,3,,HDHN_X50CA7687
,X88BU5355,12.07,,17,,HDHN_X88BU5355
,X50CA7293,56.63,,12,,HDHN_X50CA7293
,X88BU7344,4.47,,22,,HDHN_X88BU7344
,X50CJ3968,68.32,,8,,HDHN_X50CJ3968
,X88BU6381,8.6,,28,,HDHN_X88BU6381
,X50CJ4137,64.41,,7,,HDHN_X50CJ4137
,X88BU5381,5.48,,24,,HDHN_X88BU5381
,X88BU5558,5.71,,25,,HDHN_X88BU5558
,X50CJ4006,64.63,,10,,HDHN_X50CJ4006
,X88BU5366,3.85,,24,,HDHN_X88BU5366
,X88BU5096,9.24,,3,,HDHN_X88BU5096
,X88BU5475,5.03,,32,,HDHN_X88BU5475
,X50CJ4055,67.19,,10,,HDHN_X50CJ4055
,X88BU5122,6.68,,24,,HDHN_X88BU5122
,X18BJ1733,13.08,,20,,HDHN_X18BJ1733
,X17CA1615,104.16,,20,,HDHN_X17CA1615
,X18SL1863,7.99,,4,,HDHN_X18SL1863
,X50TE4001,8.37,,7,,HDHN_X50TE4001
,X50SL7657,5.21,,25,,HDHN_X50SL7657
,X50TE3983,11.18,,14,,HDHN_X50TE3983
,X50SL4209,18.18,,11,,HDHN_X50SL4209
,X50SL9990,7.7,,11,,HDHN_X50SL9990
,X50CJ7050,120.82,,22,,HDHN_X50CJ7050
,X18TE1771,9.29,,7,,HDHN_X18TE1771
,X18SL1745,7.13,,6,,HDHN_X18SL1745
,X50CJ7045,61.85,,3,,HDHN_X50CJ7045
,X13CA1454,42.25,,12,,HDHN_X13CA1454
,X17TR7769,7.21,,18,,HDHN_X17TR7769
,X18SL1765,7.21,,9,,HDHN_X18SL1765
,X18CJ7237,49.17,,20,,HDHN_X18CJ7237
,X18SL1876,9.4,,12,,HDHN_X18SL1876
,X50TE4246,10.1,,10,,HDHN_X50TE4246
,X15SL0286,10.23,,25,,HDHN_X15SL0286
,X23CA7458,43.56,,14,,HDHN_X23CA7458
,X21BJ1919,9.47,,20,,HDHN_X21BJ1919
,X31DL7487,36.61,,6,,HDHN_X31DL7487
,X52BJ0047,12.39,,5,,HDHN_X52BJ0047
,X50TE7420,7.94,,17,,HDHN_X50TE7420
,X50TE4052,10.58,,13,,HDHN_X50TE4052
,X23BJ1964,20.36,,24,,HDHN_X23BJ1964
,X23SL1993,6.57,,2,,HDHN_X23SL1993
,X50TE6942,9.72,,10,,HDHN_X50TE6942
,X30CA7424,40.52,,11,,HDHN_X30CA7424
,X89KT1118,204.07,,26,,HDHN_X89KT1118
,X23CJ1978,56.73,,5,,HDHN_X23CJ1978
,X50TE4205,12.18,,10,,HDHN_X50TE4205
,X52SL4365,7.01,,31,,HDHN_X52SL4365
,X17TR1638,10.46,,23,,HDHN_X17TR1638
,X23TE2057,11.77,,15,,HDHN_X23TE2057
,X23CJ7132,44.2,,17,,HDHN_X23CJ7132
,X50TR4003,9.4,,3,,HDHN_X50TR4003
,X21TE7322,13.26,,12,,HDHN_X21TE7322
,X17CJ0647,69.63,,12,,HDHN_X17CJ0647
,X23CA2034,46.96,,13,,HDHN_X23CA2034
,X23CJ7031,53.19,,9,,HDHN_X23CJ7031
,X23SL2009,7.87,,1,,HDHN_X23SL2009
,X21TR1924,8.91,,16,,HDHN_X21TR1924
,X52CJ4376,56.25,,14,,HDHN_X52CJ4376
,X22BU7764,7.35,,11,,HDHN_X22BU7764
,X52LA4274,25.44,,7,,HDHN_X52LA4274
,X22TE7565,9.11,,9,,HDHN_X22TE7565
,X23SL6342,9.69,,8,,HDHN_X23SL6342
,X15TE0408,7.01,,19,,HDHN_X15TE0408
,X52TA4290,18.51,,5,,HDHN_X52TA4290
,X31SL7033,10.72,,96,,HDHN_X31SL7033
,X52SK6259,10.04,,77,,HDHN_X52SK6259
,X18CA7279,40.65,,10,,HDHN_X18CA7279
,X21BJ0054,9.05,,2,,HDHN_X21BJ0054
,X52CA4411,29.8,,31,,HDHN_X52CA4411
,X15SL0005,15.26,,7,,HDHN_X15SL0005
,X15CJ0301,36.16,,9,,HDHN_X15CJ0301
,X50TE7350,11.87,,16,,HDHN_X50TE7350
,X15AS7480,15.42,,22,,HDHN_X15AS7480
,X15CA7454,67.72,,19,,HDHN_X15CA7454
,X31TE2511,9.4,,32,,HDHN_X31TE2511
,X34TE2805,8.4,,12,,HDHN_X34TE2805
,X36CJ0523,41.52,,9,,HDHN_X36CJ0523
,X34TA2806,20.94,,18,,HDHN_X34TA2806
,X60SL0201,12.82,,22,,HDHN_X60SL0201
,X34TR6654,9.87,,28,,HDHN_X34TR6654
,X31TE6721,12.76,,24,,HDHN_X31TE6721
,X58TR0221,8.83,,4,,HDHN_X58TR0221
,X58SL0304,17.91,,1,,HDHN_X58SL0304
,X31TE2428,15.68,,15,,HDHN_X31TE2428
,X60BU0241,6.13,,16,,HDHN_X60BU0241
,X88BU5206,4.77,,24,,HDHN_X88BU5206
,X36SL2857,15.79,,10,,HDHN_X36SL2857
,X31TE2404,8.8,,31,,HDHN_X31TE2404
,X36SL3061,15.76,,25,,HDHN_X36SL3061
,X36SL2990,10.45,,10,,HDHN_X36SL2990
,X36CJ7111,50.2,,4,,HDHN_X36CJ7111
,X33SL2764,9.43,,23,,HDHN_X33SL2764
,X52SL4384,8.29,,32,,HDHN_X52SL4384
,X50CA7296,33.76,,20,,HDHN_X50CA7296
,X88BU4645,17.97,,9,,HDHN_X88BU4645
,X53SL4559,9.6,,49,,HDHN_X53SL4559
,X53CA7356,65.97,,12,,HDHN_X53CA7356
,X53CK4555,52.88,,24,,HDHN_X53CK4555
,X36CJ3052,102.77,,10,,HDHN_X36CJ3052
,X31TE6733,13.52,,13,,HDHN_X31TE6733
,X47BJ6940,12.71,,58,,HDHN_X47BJ6940
,X53SL0020,9.09,,15,,HDHN_X53SL0020
,X36TR3054,7.69,,24,,HDHN_X36TR3054
,X50BJ7116,29.61,,12,,HDHN_X50BJ7116
,X33TE2756,9.99,,9,,HDHN_X33TE2756
,X37BJ3110,17.67,,15,,HDHN_X37BJ3110
,X36SL3024,14.24,,14,,HDHN_X36SL3024
,X36TR7637,8.47,,7,,HDHN_X36TR7637
,X47SL3876,12.22,,23,,HDHN_X47SL3876
,X49TR3955,8.27,,28,,HDHN_X49TR3955
,X52CJ4366,71.83,,74,,HDHN_X52CJ4366
,X36CJ3063,22.96,,2,,HDHN_X36CJ3063
,X53CJ4552,33.92,,11,,HDHN_X53CJ4552
,X37TR3193,7.89,,34,,HDHN_X37TR3193
,X53TR4573,6.68,,38,,HDHN_X53TR4573
,X47SL6269,12.14,,18,,HDHN_X47SL6269
,X50BJ7726,20.76,,10,,HDHN_X50BJ7726
,X47TR3880,11.25,,19,,HDHN_X47TR3880
,X50TR3994,9.99,,27,,HDHN_X50TR3994
,X31TR2227,8.77,,25,,HDHN_X31TR2227
,X47TE3873,7.65,,14,,HDHN_X47TE3873
,X50CA4136,39.86,,13,,HDHN_X50CA4136
,X53CJ4582,88.19,,15,,HDHN_X53CJ4582
,X53SL4538,6.42,,29,,HDHN_X53SL4538
,X52SL4359,7.97,,30,,HDHN_X52SL4359
,X52CJ4382,58.14,,23,,HDHN_X52CJ4382
,X56TR0202,8.88,,4,,HDHN_X56TR0202
,X47TE3861,6.96,,12,,HDHN_X47TE3861
,X50CA3969,39.3,,10,,HDHN_X50CA3969
,X57BJ0219,15.45,,7,,HDHN_X57BJ0219
,X50CA4177,30.97,,8,,HDHN_X50CA4177
,X50CA7205,79.07,,18,,HDHN_X50CA7205
,X13CJ7065,41.84,,19,,HDHN_X13CJ7065
,X13CJ1463,43.82,,9,,HDHN_X13CJ1463
,X32LA6937,19.79,,25,,HDHN_X32LA6937
,X88BU5423,10.1,,18,,HDHN_X88BU5423
,X50TE7585,9.56,,6,,HDHN_X50TE7585
,X33BJ2729,6.77,,2,,HDHN_X33BJ2729
,X13SL9998,10.36,,21,,HDHN_X13SL9998
,X13CA6556,145.01,,9,,HDHN_X13CA6556
,X13LA7067,15.93,,10,,HDHN_X13LA7067
,X09TE1353,9.05,,7,,HDHN_X09TE1353
,X88BU7417,2.33,,29,,HDHN_X88BU7417
,X88BU7290,10.04,,16,,HDHN_X88BU7290
,X33CJ2772,35.73,,10,,HDHN_X33CJ2772
,X13SL0032,10.67,,21,,HDHN_X13SL0032
,X88BU6842,11.31,,26,,HDHN_X88BU6842
,X32TR2598,8.51,,4,,HDHN_X32TR2598
,X32SL2568,6.76,,31,,HDHN_X32SL2568
,X88BU5308,11.43,,28,,HDHN_X88BU5308
,X10SL1379,6.77,,3,,HDHN_X10SL1379
,X13CJ9977,41.3,,2,,HDHN_X13CJ9977
